mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_num_leaves,param_min_data_in_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.0739073753356934,0.12208937980532972,0.007250308990478516,0.0003131739136194555,100,10,10,0.2,"{'num_leaves': 100, 'min_data_in_leaf': 10, 'max_depth': 10, 'learning_rate': 0.2}",0.9371008277420397,0.91534666021074,0.9077494178137465,0.9200656352555088,0.012438592104134085,98
0.468591849009196,0.10183905692196712,0.007632096608479817,0.0022164556872646185,50,30,5,0.2,"{'num_leaves': 50, 'min_data_in_leaf': 30, 'max_depth': 5, 'learning_rate': 0.2}",0.9338267505937147,0.9171566253948491,0.9168914712595975,0.9226249490827204,0.007921609453372683,16
0.5165780385335287,0.042930539787767126,0.00838009516398112,0.0013625244775270905,70,50,10,0.3,"{'num_leaves': 70, 'min_data_in_leaf': 50, 'max_depth': 10, 'learning_rate': 0.3}",0.9362938368956214,0.9179636162412672,0.8951373037282978,0.9164649189550621,0.016835471001331495,150
0.6391636530558268,0.16290701791830747,0.009251991907755533,0.0001303944512493348,70,50,12,0.2,"{'num_leaves': 70, 'min_data_in_leaf': 50, 'max_depth': 12, 'learning_rate': 0.2}",0.9387032809942127,0.9198773373913445,0.9017200433469369,0.9201002205774981,0.015099166078622198,94
0.9651668866475424,0.17110376910642336,0.0072850386301676435,0.0007346380277358022,100,30,8,0.2,"{'num_leaves': 100, 'min_data_in_leaf': 30, 'max_depth': 8, 'learning_rate': 0.2}",0.9344031726268706,0.9166147886836826,0.9117382582831847,0.9209187398645793,0.009740553795936894,61
0.46649829546610516,0.11678374654976272,0.0055383046468098955,0.00036183533078057727,150,50,5,0.05,"{'num_leaves': 150, 'min_data_in_leaf': 50, 'max_depth': 5, 'learning_rate': 0.05}",0.9425768370570196,0.9173064951234695,0.9025846763966706,0.9208226695257199,0.016514959690960417,64
0.5513176918029785,0.12862979688041767,0.007417996724446614,0.00017816237669916998,70,50,8,0.1,"{'num_leaves': 70, 'min_data_in_leaf': 50, 'max_depth': 8, 'learning_rate': 0.1}",0.93654746259021,0.9203730603398586,0.9038758617509396,0.9202654615603362,0.013338342187672611,88
0.7814656098683676,0.1524506834509027,0.008282740910847982,0.0015537443299334115,70,10,12,0.3,"{'num_leaves': 70, 'min_data_in_leaf': 10, 'max_depth': 12, 'learning_rate': 0.3}",0.936051739641696,0.9133061262133683,0.907795531576399,0.9190511324771545,0.012229939936771142,122
2.379124085108439,0.25631760314082697,0.007396380106608073,0.0005288122770674091,150,10,8,0.05,"{'num_leaves': 150, 'min_data_in_leaf': 10, 'max_depth': 8, 'learning_rate': 0.05}",0.929791796361624,0.91693758502225,0.9134329390606626,0.9200541068148457,0.0070326658819680875,99
1.281689961751302,0.1540269640891877,0.007383028666178386,0.0007540875084434699,50,10,8,0.2,"{'num_leaves': 50, 'min_data_in_leaf': 10, 'max_depth': 8, 'learning_rate': 0.2}",0.9385764681469185,0.9106315279795254,0.9144359133983537,0.921214636508266,0.012374523169007048,57
0.9267620245615641,0.22319655811584946,0.012029647827148438,0.0010893903470845065,50,50,16,0.05,"{'num_leaves': 50, 'min_data_in_leaf': 50, 'max_depth': 16, 'learning_rate': 0.05}",0.9395102718406309,0.9231168292176799,0.8987572340965161,0.920461445051609,0.016742975047172787,80
3.6706424554189048,0.07864873666329489,0.012072881062825521,0.001864137044012656,100,10,12,0.05,"{'num_leaves': 100, 'min_data_in_leaf': 10, 'max_depth': 12, 'learning_rate': 0.05}",0.9345760992368173,0.9044522837840954,0.9174217795301007,0.9188167208503378,0.012337489218437449,123
0.6895583470662435,0.22441407912653336,0.007457733154296875,0.00011902238180454844,150,50,8,0.1,"{'num_leaves': 150, 'min_data_in_leaf': 50, 'max_depth': 8, 'learning_rate': 0.1}",0.93654746259021,0.9203730603398586,0.9038758617509396,0.9202654615603362,0.013338342187672611,88
0.8451984723409017,0.08270118857010923,0.008676608403523764,0.00035846111572758417,150,50,10,0.05,"{'num_leaves': 150, 'min_data_in_leaf': 50, 'max_depth': 10, 'learning_rate': 0.05}",0.9383458993336561,0.9202462474925641,0.9011897350764335,0.9199272939675512,0.015170617084587442,100
0.921290397644043,0.013165911628710817,0.007974068323771158,0.0007487779916162486,150,30,12,0.3,"{'num_leaves': 150, 'min_data_in_leaf': 30, 'max_depth': 12, 'learning_rate': 0.3}",0.9397754259758824,0.9134444675013258,0.9029190011759011,0.9187129648843698,0.015500899130169297,124
0.8997832934061686,0.13259466021074512,0.006714661916097005,0.0006507122346724044,150,30,10,0.3,"{'num_leaves': 150, 'min_data_in_leaf': 30, 'max_depth': 10, 'learning_rate': 0.3}",0.9405247746189851,0.9223444236932513,0.9043831131401165,0.9224174371507843,0.014754861839114102,23
1.3274627526601155,0.022435583894491417,0.008770227432250977,0.001444787567044423,100,30,8,0.05,"{'num_leaves': 100, 'min_data_in_leaf': 30, 'max_depth': 8, 'learning_rate': 0.05}",0.936847202047451,0.9121648105877199,0.9117267298425213,0.920246247492564,0.01174000987463791,92
0.5144842465718588,0.11928024651340431,0.004978179931640625,0.0004202353638227502,50,50,5,0.2,"{'num_leaves': 50, 'min_data_in_leaf': 50, 'max_depth': 5, 'learning_rate': 0.2}",0.9352908625579303,0.9168107721749557,0.9026769039219755,0.9182595128849539,0.013353943530172302,139
