mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.2150020599365234,0.07098084185911749,0.006914377212524414,0.0003603739214530153,1,10,0.15,0.1,0.7,"{'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.9388992644854856,0.9171220400728597,0.8999907772474696,0.9186706939352716,0.01592202544437287,128
0.8848140239715576,0.024688301625898728,0.005754311879475911,0.0005240409755723432,7,4,0.2,0.3,0.7,"{'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.945286020612852,0.9168684143782713,0.8982038689446865,0.92011943464527,0.019358186915934092,76
1.4020869731903076,0.04266823679409904,0.0055090586344401045,8.980278418904387e-05,3,12,0.3,0.2,0.4,"{'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.3, 'gamma': 0.2, 'colsample_bytree': 0.4}",0.9325125083581196,0.9152313758041087,0.8982730395886652,0.9153389745836312,0.013978411653370507,245
1.1045866012573242,0.03109596289076378,0.0060160160064697266,3.424773138142018e-05,3,6,0.1,0.0,0.4,"{'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.9413202370247401,0.9160383666505267,0.9019851974821885,0.9197812670524851,0.01627509982596644,86
2.3007025718688965,0.03899714506532065,0.005988279978434245,0.00039563436645142656,1,15,0.1,0.3,0.3,"{'min_child_weight': 1, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.3}",0.9316824606303752,0.9048788360886306,0.8894653109220447,0.9086755358803501,0.017442918894788016,295
0.8190655708312988,0.03263303828930537,0.005408843358357747,0.00026677113070425234,3,5,0.3,0.0,0.4,"{'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.925514744875608,0.9049941204952618,0.9031495699891633,0.9112194784533444,0.010136290353806659,289
1.7079660892486572,0.021489245964263562,0.0058205922444661455,0.0003899356249711225,3,15,0.1,0.4,0.3,"{'min_child_weight': 3, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.3}",0.932062899172258,0.914366742754375,0.899149201079062,0.9151929476685651,0.013449655298251756,246
2.0140187740325928,0.1282929789091614,0.006103992462158203,0.000772632771388769,1,12,0.25,0.4,0.5,"{'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.25, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.9368702589287773,0.9163035207857784,0.9031726268704895,0.9187821355283483,0.013868195024719941,123
1.279362440109253,0.1312898859459496,0.005514383316040039,0.0003093892411903379,7,10,0.2,0.2,0.7,"{'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.9401443360771021,0.9132369555693897,0.9002674598233843,0.9178829171566254,0.016607830166142187,167
1.1127737363179524,0.005739209095627446,0.005827585856119792,0.0003167415325157924,3,6,0.15,0.1,0.3,"{'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.3}",0.9368356736067879,0.9130525005187798,0.8989993313504415,0.9162958351586697,0.015615945131490389,222
1.3247939745585124,0.0011349666702815029,0.005453666051228841,0.00026708956530578214,5,6,0.15,0.3,0.7,"{'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.941631504922644,0.9193816144428304,0.9063429480528463,0.9224520224727736,0.014569171003434876,22
1.209177017211914,0.10405192577828194,0.005997419357299805,0.00036168504455775396,3,6,0.3,0.1,0.5,"{'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.5}",0.9372161121486707,0.911184893131355,0.9073459223905374,0.9185823092235209,0.013268970888937392,135
1.096401611963908,0.047249808080850796,0.004980723063151042,0.0002446569888374405,1,5,0.05,0.0,0.4,"{'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.9431993728528281,0.9080376288303245,0.8956791404394642,0.9156387140408722,0.02013083032628537,237
1.0140487353007,0.028081363205495306,0.00536656379699707,0.0006026071288281797,7,8,0.3,0.2,0.3,"{'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.3, 'gamma': 0.2, 'colsample_bytree': 0.3}",0.9293306587350995,0.9121417537063937,0.8973622927762791,0.9129449017392575,0.013063381149643345,274
1.6919748783111572,0.005997826942386952,0.005387147267659505,0.00047028979143622405,1,10,0.3,0.4,0.5,"{'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.3, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.9425422517350304,0.910873625233451,0.9022503516174403,0.9185554095286405,0.01732275307680297,138
2.4242142836252847,0.044520322036040734,0.005349636077880859,0.00041458351628170673,1,12,0.05,0.1,0.3,"{'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.3}",0.9355560166931821,0.9034493094464042,0.8811648336446012,0.9067233865947291,0.022325469524528064,299
